2026/06/18 13:53:21 memstats[live]: HeapAlloc=44MiB HeapInuse=53MiB Sys=536MiB NumGC=149
2026/06/18 13:53:24 memstats[live]: HeapAlloc=56MiB HeapInuse=62MiB Sys=536MiB NumGC=149
2026/06/18 13:53:27 memstats[live]: HeapAlloc=67MiB HeapInuse=72MiB Sys=536MiB NumGC=149
2026/06/18 13:53:30 memstats[live]: HeapAlloc=78MiB HeapInuse=83MiB Sys=536MiB NumGC=149
2026/06/18 13:53:33 memstats[live]: HeapAlloc=54MiB HeapInuse=61MiB Sys=536MiB NumGC=150
2026/06/18 13:53:36 memstats[live]: HeapAlloc=64MiB HeapInuse=70MiB Sys=536MiB NumGC=150
2026/06/18 13:53:39 memstats[live]: HeapAlloc=73MiB HeapInuse=79MiB Sys=536MiB NumGC=150
2026/06/18 13:53:39 memstats[pre-scavenge]: HeapAlloc=73MiB HeapInuse=79MiB Sys=536MiB NumGC=150
2026/06/18 13:53:39 memstats[post-scavenge]: HeapAlloc=42MiB HeapInuse=51MiB Sys=536MiB NumGC=151
2026/06/18 13:53:42 memstats[live]: HeapAlloc=51MiB HeapInuse=59MiB Sys=536MiB NumGC=151
2026/06/18 13:53:45 memstats[live]: HeapAlloc=61MiB HeapInuse=67MiB Sys=536MiB NumGC=151
2026/06/18 13:53:48 memstats[live]: HeapAlloc=70MiB HeapInuse=75MiB Sys=536MiB NumGC=151
2026/06/18 13:53:51 memstats[live]: HeapAlloc=43MiB HeapInuse=53MiB Sys=536MiB NumGC=152
2026/06/18 13:53:54 memstats[live]: HeapAlloc=53MiB HeapInuse=60MiB Sys=536MiB NumGC=152
2026/06/18 13:53:57 memstats[live]: HeapAlloc=64MiB HeapInuse=70MiB Sys=536MiB NumGC=152
2026/06/18 13:54:00 memstats[live]: HeapAlloc=73MiB HeapInuse=79MiB Sys=536MiB NumGC=152
2026/06/18 13:54:03 memstats[live]: HeapAlloc=45MiB HeapInuse=54MiB Sys=536MiB NumGC=153
2026/06/18 13:54:06 memstats[live]: HeapAlloc=55MiB HeapInuse=62MiB Sys=536MiB NumGC=153
2026/06/18 13:54:09 memstats[live]: HeapAlloc=64MiB HeapInuse=70MiB Sys=536MiB NumGC=153
2026/06/18 13:54:09 memstats[pre-scavenge]: HeapAlloc=64MiB HeapInuse=70MiB Sys=536MiB NumGC=153
2026/06/18 13:54:09 memstats[post-scavenge]: HeapAlloc=42MiB HeapInuse=52MiB Sys=536MiB NumGC=154
2026/06/18 13:54:12 memstats[live]: HeapAlloc=51MiB HeapInuse=58MiB Sys=536MiB NumGC=154
2026/06/18 13:54:15 memstats[live]: HeapAlloc=60MiB HeapInuse=67MiB Sys=536MiB NumGC=154
2026/06/18 13:54:18 memstats[live]: HeapAlloc=70MiB HeapInuse=75MiB Sys=536MiB NumGC=154
2026/06/18 13:54:21 memstats[live]: HeapAlloc=79MiB HeapInuse=85MiB Sys=536MiB NumGC=154
2026/06/18 13:54:24 memstats[live]: HeapAlloc=50MiB HeapInuse=57MiB Sys=536MiB NumGC=155
2026/06/18 13:54:27 memstats[live]: HeapAlloc=60MiB HeapInuse=67MiB Sys=536MiB NumGC=155
2026/06/18 13:54:30 memstats[live]: HeapAlloc=69MiB HeapInuse=75MiB Sys=536MiB NumGC=155
2026/06/18 13:54:33 memstats[live]: HeapAlloc=80MiB HeapInuse=85MiB Sys=536MiB NumGC=155
2026/06/18 13:54:36 memstats[live]: HeapAlloc=68MiB HeapInuse=73MiB Sys=536MiB NumGC=156
2026/06/18 13:54:39 memstats[live]: HeapAlloc=77MiB HeapInuse=82MiB Sys=536MiB NumGC=156
2026/06/18 13:54:39 memstats[pre-scavenge]: HeapAlloc=77MiB HeapInuse=82MiB Sys=536MiB NumGC=156
2026/06/18 13:54:39 memstats[post-scavenge]: HeapAlloc=42MiB HeapInuse=52MiB Sys=536MiB NumGC=157
2026/06/18 13:54:42 memstats[live]: HeapAlloc=53MiB HeapInuse=60MiB Sys=536MiB NumGC=157
2026/06/18 13:54:45 memstats[live]: HeapAlloc=62MiB HeapInuse=69MiB Sys=536MiB NumGC=157
2026/06/18 13:54:48 memstats[live]: HeapAlloc=70MiB HeapInuse=76MiB Sys=536MiB NumGC=157
2026/06/18 13:54:51 memstats[live]: HeapAlloc=79MiB HeapInuse=85MiB Sys=536MiB NumGC=157
2026/06/18 13:54:54 memstats[live]: HeapAlloc=49MiB HeapInuse=57MiB Sys=536MiB NumGC=158
2026/06/18 13:54:57 memstats[live]: HeapAlloc=59MiB HeapInuse=66MiB Sys=536MiB NumGC=158
2026/06/18 13:55:00 memstats[live]: HeapAlloc=69MiB HeapInuse=75MiB Sys=536MiB NumGC=158
2026/06/18 13:55:03 memstats[live]: HeapAlloc=78MiB HeapInuse=84MiB Sys=536MiB NumGC=158
2026/06/18 13:55:06 memstats[live]: HeapAlloc=51MiB HeapInuse=60MiB Sys=536MiB NumGC=159
2026/06/18 13:55:09 memstats[pre-scavenge]: HeapAlloc=75MiB HeapInuse=80MiB Sys=536MiB NumGC=159
2026/06/18 13:55:09 memstats[post-scavenge]: HeapAlloc=42MiB HeapInuse=52MiB Sys=536MiB NumGC=160
2026/06/18 13:55:09 memstats[live]: HeapAlloc=42MiB HeapInuse=52MiB Sys=536MiB NumGC=160
2026/06/18 13:55:12 memstats[live]: HeapAlloc=52MiB HeapInuse=59MiB Sys=536MiB NumGC=160
2026/06/18 13:55:15 memstats[live]: HeapAlloc=61MiB HeapInuse=68MiB Sys=536MiB NumGC=160
2026/06/18 13:55:18 memstats[live]: HeapAlloc=71MiB HeapInuse=76MiB Sys=536MiB NumGC=160
2026/06/18 13:55:21 memstats[live]: HeapAlloc=81MiB HeapInuse=86MiB Sys=536MiB NumGC=160
2026/06/18 13:55:24 memstats[live]: HeapAlloc=51MiB HeapInuse=59MiB Sys=536MiB NumGC=161
2026/06/18 13:55:27 memstats[live]: HeapAlloc=61MiB HeapInuse=68MiB Sys=536MiB NumGC=161
2026/06/18 13:55:30 memstats[live]: HeapAlloc=70MiB HeapInuse=76MiB Sys=536MiB NumGC=161
